county,year,zhvi,seasonality_score,median_income,median_rent,pct_age_25_34,pct_bachelors_plus,zhvi_next,target_growth,lagged_growth,predicted_zhvi_next,predicted_growth,opportunity_score
Fulton County,2022,177995.9843916667,0.0498677277100556,60557.0,855.0,0.1084459459459459,0.1932755722229406,182857.28975,0.027311320392691418,0.10167396494897604,184326.88,0.03556760356122792,0.019982250545025837
Fulton County,2023,182857.28975,0.0041306157218598,62615.0,883.0,0.1023736904919771,0.2115566037735849,194939.31784166663,0.06607353804808669,0.027311320392691418,195227.66,0.06765038745194463,0.03699627591792229
Fulton County,2024,194939.31784166663,0.0350371732936565,66533.0,912.0,0.1036256596871606,0.2090720458067397,200500.98988333333,0.028530273437111276,0.06607353804808669,206017.22,0.0568274324081253,0.029151344652945596
Fulton County,2025,200500.98988333333,0.0141922024385835,66533.0,912.0,0.1036256596871606,0.2090720458067397,204907.1096,0.021975550939825696,0.028530273437111276,214368.0,0.06916180376334076,0.034494494916750454
Genesee County,2022,178902.33475,0.0664080931582627,68178.0,866.0,0.1197168579479073,0.2316673445462593,184908.6721333333,0.03357327556248285,0.10462098478688141,187726.64,0.049324710531761184,0.02757074724636101
Genesee County,2023,184908.6721333333,0.0255953869099996,72055.0,909.0,0.1189099632397356,0.2361390405056018,196833.73255,0.06449162323802635,0.03357327556248285,197017.67,0.06548638093585558,0.03541552712499871
Genesee County,2024,196833.73255,0.0210177188243046,73314.0,929.0,0.1168428885389447,0.2382334596747109,205680.72764166663,0.04494653927989358,0.06449162323802635,206652.66,0.04988435454022494,0.025343397137253008
Genesee County,2025,205680.72764166663,-0.0017273731509101,73314.0,929.0,0.1168428885389447,0.2382334596747109,210420.5455,0.02304454050061028,0.04494653927989358,215453.0,0.04751185232754745,0.023099807586407298
Greene County,2022,315042.76345,0.0710978934915869,70294.0,1013.0,0.1038758399733705,0.2758791073046199,324307.5740083333,0.029408104654985032,0.17482382637855498,324902.38,0.031296105462091585,0.00993392297584342
Greene County,2023,324307.5740083333,0.0218863531413574,74011.0,993.0,0.1041552761071623,0.2893191031686936,341295.9288083333,0.05238346607212893,0.029408104654985032,340633.8,0.050341835344391815,0.015522867604411312
Greene County,2024,341295.9288083333,0.0249563714301495,77945.0,1004.0,0.1056339513594465,0.2994359564098351,344070.43730833335,0.00812933371249845,0.05238346607212893,343614.03,0.006792060045253331,0.00199007942138907
Greene County,2025,344070.43730833335,-0.0085085665442659,77945.0,1004.0,0.1056339513594465,0.2994359564098351,344694.7627,0.0018145278523513289,0.00812933371249845,336212.56,-0.022837983029886513,-0.006637589444925375
Hamilton County,2022,224185.02296666664,0.0698795372227954,66891.0,902.0,0.0713163064833005,0.2335037740443145,228384.75671666663,0.018733337733379405,0.1557380999781573,229794.4,0.025021222243590283,0.01116096959220626
Hamilton County,2023,228384.75671666663,0.0181172141899659,68950.0,860.0,0.0693845550764406,0.2689238210399032,240740.58349166668,0.05410092579133313,0.018733337733379405,239277.17,0.04769326690154924,0.02088285907833917
Hamilton County,2024,240740.58349166668,0.0403837571852296,68835.0,912.0,0.0685792886618196,0.3322179732313575,246287.09593333336,0.023039374422130512,0.05410092579133313,248591.36,0.0326109365087797,0.013546090167181363
Hamilton County,2025,246287.09593333336,0.0107505696411641,68835.0,912.0,0.0685792886618196,0.3322179732313575,250004.6625,0.015094443144000293,0.023039374422130512,259127.97,0.05213782219488468,0.021169530623316817
Herkimer County,2022,153661.76902500002,0.0733601946277598,68104.0,776.0,0.1042077853150448,0.2236300653290865,161068.3115916667,0.04820029480112039,0.12093006723335646,161556.81,0.05137936082016275,0.033436658412935215
Herkimer County,2023,161068.3115916667,0.0193868984246179,68858.0,811.0,0.1043515984782753,0.2261627365085282,172649.1821,0.0719003657137267,0.04820029480112039,173815.58,0.07914198893230857,0.04913566681753384
Herkimer County,2024,172649.1821,0.0319120828136221,68515.0,823.0,0.1008082735077062,0.2268235842460964,180742.789275,0.04687891987992211,0.0719003657137267,180540.94,0.04570977576614882,0.02647552407150895
Herkimer County,2025,180742.789275,0.0104372677336844,68515.0,823.0,0.1008082735077062,0.2268235842460964,184793.2936,0.022410323207069566,0.04687891987992211,193332.12,0.06965332213527671,0.03853726193707194
Jefferson County,2022,184863.21741666668,0.0596259112845075,62782.0,1143.0,0.1634637489888884,0.2521820741435945,192615.3218666667,0.04193427204356938,0.10236430476914227,195980.34,0.06013703801484867,0.03253055900206728
Jefferson County,2023,192615.3218666667,0.0147468823500915,64978.0,1214.0,0.1653922328425041,0.2567455320061091,205673.3419,0.06779325708248903,0.04193427204356938,203241.84,0.0551696603382843,0.028642404873935295
Jefferson County,2024,205673.3419,0.0316917486098609,66301.0,1213.0,0.1588577885952712,0.2645276244212572,210603.48371666667,0.023970738118621826,0.06779325708248903,216103.64,0.050712934542928245,0.02465702850668186
Jefferson County,2025,210603.48371666667,-0.0022178089002961,66301.0,1213.0,0.1588577885952712,0.2645276244212572,211995.2529,0.0066084812975160745,0.023970738118621826,216103.64,0.026116172492820264,0.01240063650986676
Kings County,2022,874340.56435,0.0200721003759007,74692.0,1715.0,0.1501772639404094,0.4040221412328597,848574.4595750001,-0.029469186064991583,0.05061683298698718,844730.3,-0.033865810483141405,-0.0038732974156721004
Kings County,2023,848574.4595750001,0.0042688439135025,78548.0,1784.0,0.1470400626382587,0.4132591826148946,866787.4679166666,0.021463064479678478,-0.029469186064991583,860045.2,0.013517644557373192,0.0015929827258934198
Kings County,2024,866787.4679166666,0.0153711451889801,80263.0,1833.0,0.1452864818854072,0.4210757763746419,905357.9630583334,0.0444982150403851,0.021463064479678478,891291.2,0.028269582210536933,0.003261420273932108
Kings County,2025,905357.9630583334,0.0163345044111264,80263.0,1833.0,0.1452864818854072,0.4210757763746419,928469.9722,0.0255280343076603,0.0444982150403851,883157.0,-0.024521751576953812,-0.00270851448570888
Lewis County,2022,156239.14587500002,0.0595297629691924,64401.0,768.0,0.1158486324466092,0.1920995670995671,162402.52431666668,0.03944836236238583,0.10206108067727307,163203.9,0.04457756304282525,0.028531622336498034
Lewis County,2023,162402.52431666668,0.018359566106395,68329.0,821.0,0.1138327447591855,0.1940791253991448,172384.74265833336,0.06146590629467358,0.03944836236238583,173815.58,0.07027633256536796,0.04327293116967628
