county,year,zhvi,seasonality_score
Wayne County,2026,231047.6808,
Westchester County,2021,650725.4849916667,0.03614396066822561
Westchester County,2022,702212.63125,0.041542469700399175
Westchester County,2023,725313.303,0.018709080394594416
Westchester County,2024,770970.2597666667,0.022717810726614635
Westchester County,2025,802318.0177916667,0.0070481304721866705
Westchester County,2026,827766.1954,
Wyoming County,2021,158434.37488333334,0.04746587436359078
Wyoming County,2022,174457.87365,0.0613176049737959
Wyoming County,2023,178236.1875166667,0.01511704031951736
Wyoming County,2024,188801.24764166668,0.02841937924367374
Wyoming County,2025,192670.7017,-0.005254698936739668
Wyoming County,2026,192160.4937,
Yates County,2021,227376.26663333332,0.053193661153661836
Yates County,2022,252468.93946666666,0.06171047181570251
Yates County,2023,262350.48079166666,0.03328104045712894
Yates County,2024,281197.5915583333,0.04020025944192757
Yates County,2025,295971.5519083333,-0.002906391215616237
Yates County,2026,298935.2685,
